iter	Passed	Remaining
869	3514	525
870	3518	521
871	3523	517
872	3526	513
873	3530	509
874	3534	504
875	3538	500
876	3542	496
877	3546	492
878	3550	488
879	3554	484
880	3558	480
881	3562	476
882	3566	472
883	3570	468
884	3574	464
885	3578	460
886	3582	456
887	3586	452
888	3590	448
889	3594	444
890	3598	440
891	3602	436
892	3606	432
893	3610	428
894	3614	424
895	3618	419
896	3622	415
897	3626	411
898	3630	407
899	3634	403
900	3637	399
901	3641	395
902	3645	391
903	3650	387
904	3654	383
905	3658	379
906	3663	375
907	3666	371
908	3670	367
909	3674	363
910	3678	359
911	3682	355
912	3686	351
913	3690	347
914	3694	343
915	3698	339
916	3702	335
917	3706	331
918	3710	327
919	3714	323
920	3718	318
921	3722	314
922	3726	310
923	3730	306
924	3734	302
925	3737	298
926	3741	294
927	3746	290
928	3750	286
929	3754	282
930	3758	278
931	3762	274
932	3765	270
933	3770	266
934	3774	262
935	3779	258
936	3783	254
937	3787	250
938	3791	246
939	3795	242
940	3798	238
941	3802	234
942	3807	230
943	3811	226
944	3815	222
945	3820	218
946	3824	214
947	3827	209
948	3831	205
949	3835	201
950	3839	197
951	3844	193
952	3848	189
953	3852	185
954	3856	181
955	3860	177
956	3864	173
957	3868	169
958	3872	165
959	3877	161
960	3880	157
961	3884	153
962	3888	149
963	3892	145
964	3896	141
965	3899	137
966	3904	133
967	3908	129
968	3912	125
969	3913	121
970	3917	117
971	3921	112
972	3925	108
973	3929	104
974	3934	100
975	3938	96
976	3943	92
977	3947	88
978	3951	84
979	3955	80
980	3959	76
981	3964	72
982	3968	68
983	3973	64
984	3977	60
985	3981	56
986	3985	52
987	3989	48
988	3993	44
989	3997	40
990	4000	36
991	4006	32
992	4010	28
993	4014	24
994	4018	20
995	4022	16
996	4026	12
997	4029	8
998	4033	4
999	4039	0
